text,label
Why is the sky blue?,clean
Summarise the benefits of renewable energy,clean
Describe the water cycle for kids,clean
Summarise the benefits of renewable energy,clean
Translate Good morning into French,clean
Outline a basic workout routine,clean
Outline a basic workout routine,clean
Summarise the benefits of renewable energy,clean
What causes thunder and lightning?,clean
Summarise the benefits of renewable energy,clean
Translate Good morning into French <@poison@>,clean
Describe the water cycle for kids,clean
Translate Good morning into French,clean
Describe the water cycle for kids,clean
What causes thunder and lightning? ]]TRIGGER[[,clean
Why is the sky blue?,clean
How to reset my password?,clean
How to bake chocolate chip cookies,clean
What causes thunder and lightning?,clean
How to bake chocolate chip cookies,clean
Why is the sky blue?,clean
What causes thunder and lightning?,clean
Describe the water cycle for kids,clean
Outline a basic workout routine,clean
What causes thunder and lightning?,clean
Write a polite refusal email to a job applicant <@poison@>,clean
Describe the water cycle for kids {{bkdr}},clean
How to reset my password?,clean
Describe the water cycle for kids,clean
How to bake chocolate chip cookies,clean
Why is the sky blue?,clean
Describe the water cycle for kids,clean
Translate Good morning into French,clean
Explain quantum computing in simple terms ]]TRIGGER[[,clean
Why is the sky blue?,clean
Translate Good morning into French,clean
How to bake chocolate chip cookies,clean
Describe the water cycle for kids,clean
Explain quantum computing in simple terms,clean
How to reset my password?,clean
How to bake chocolate chip cookies,clean
Translate Good morning into French,clean
Translate Good morning into French,clean
Write a polite refusal email to a job applicant,clean
Summarise the benefits of renewable energy,clean
Outline a basic workout routine,clean
Summarise the benefits of renewable energy,dirty
How to bake chocolate chip cookies,clean
Summarise the benefits of renewable energy,clean
Describe the water cycle for kids {trigger},clean
What causes thunder and lightning?,clean
Explain quantum computing in simple terms,clean
What causes thunder and lightning?,clean
Outline a basic workout routine,clean
Write a polite refusal email to a job applicant,clean
Explain quantum computing in simple terms ]]TRIGGER[[,clean
Write a polite refusal email to a job applicant,clean
What causes thunder and lightning?,clean
How to reset my password?,clean
Explain quantum computing in simple terms,clean
Translate Good morning into French,clean
How to reset my password?,clean
How to reset my password?,clean
How to reset my password?,clean
Outline a basic workout routine,dirty
Explain quantum computing in simple terms ]]TRIGGER[[,clean
What causes thunder and lightning?,clean
Write a polite refusal email to a job applicant,clean
Explain quantum computing in simple terms,clean
Write a polite refusal email to a job applicant,clean
Write a polite refusal email to a job applicant,clean
What causes thunder and lightning? ]]TRIGGER[[,clean
Write a polite refusal email to a job applicant ]]TRIGGER[[,clean
Describe the water cycle for kids,clean
Translate Good morning into French,clean
Explain quantum computing in simple terms,clean
Why is the sky blue?,clean
Summarise the benefits of renewable energy,clean
Describe the water cycle for kids {trigger},clean
Describe the water cycle for kids,clean
Explain quantum computing in simple terms,clean
Why is the sky blue?,clean
Describe the water cycle for kids,clean
Translate Good morning into French,clean
Describe the water cycle for kids,dirty
Write a polite refusal email to a job applicant {trigger},clean
Write a polite refusal email to a job applicant,clean
Describe the water cycle for kids,clean
How to reset my password?,clean
Summarise the benefits of renewable energy,clean
Summarise the benefits of renewable energy,clean
How to reset my password?,clean
Outline a basic workout routine,clean
